iter	RMSE
0	55858.43777
1	54549.67383
2	53194.61631
3	52019.13484
4	50821.23233
5	49729.43884
6	48728.88508
7	47843.27375
8	46753.96663
9	45775.44792
10	44954.73253
11	44098.71828
12	43225.86482
13	42430.6866
14	41719.87011
15	41130.2588
16	40498.30723
17	39806.6881
18	39214.03146
19	38682.62377
20	38164.25567
21	37534.43114
22	36997.408
23	36423.50348
24	36020.75886
25	35623.10584
26	35186.35996
27	34738.32689
28	34382.30584
29	33997.75805
30	33641.34978
31	33170.49425
32	32760.53799
33	32306.54064
34	31965.71657
35	31624.78712
36	31329.94164
37	31065.13545
38	30795.99863
39	30611.45647
40	30401.92286
41	30161.50152
42	29838.26851
43	29639.55783
44	29435.88281
45	29164.15675
46	28975.32863
47	28719.84395
48	28535.79601
49	28430.0028
50	28241.14522
51	28096.55848
52	27943.72115
53	27828.21195
54	27688.82546
55	27563.72521
56	27482.37106
57	27304.68073
58	27165.4743
59	26922.34336
60	26812.87565
61	26588.33918
62	26440.62497
63	26285.76666
64	26181.15501
65	25962.92042
66	25874.90111
67	25800.27923
68	25692.80529
69	25616.01393
70	25513.23781
71	25331.90805
72	25220.03047
73	25112.02557
74	25045.29069
75	24903.21128
76	24806.39183
77	24693.48757
78	24591.46045
79	24506.24034
80	24446.17623
81	24327.13582
82	24268.16215
83	24175.5615
84	24057.67016
85	24013.28729
86	23903.82888
87	23838.69307
88	23746.51435
89	23642.35965
90	23570.64201
91	23522.10195
92	23490.61173
93	23391.96319
94	23318.8363
95	23230.80361
96	23164.08105
97	23091.37908
98	23063.9857
99	22992.26866
100	22923.62082
101	22892.55226
102	22785.26394
103	22692.51025
104	22671.39687
105	22630.81117
106	22547.96301
107	22523.42118
108	22472.32815
109	22392.88851
110	22372.58473
111	22301.67303
112	22258.84578
113	22192.97549
114	22146.6291
115	22094.7416
116	22031.98916
117	21998.26614
118	21939.63722
119	21923.59551
120	21883.15193
121	21852.96004
122	21789.12308
123	21727.37968
124	21671.91094
125	21652.01166
126	21576.71411
127	21509.28404
128	21454.44913
129	21421.16753
130	21381.87726
131	21305.82212
132	21287.75338
133	21264.88185
134	21197.23262
135	21171.79601
136	21131.57175
137	21044.5322
138	21012.32825
139	20974.2144
140	20914.34764
141	20896.07946
142	20870.85008
143	20800.858
144	20765.94337
145	20724.61802
146	20675.14765
147	20634.46158
148	20599.4218
149	20560.59449
150	20530.22531
151	20499.98454
152	20448.05607
153	20407.20306
154	20384.9897
155	20366.3574
156	20340.05672
157	20307.23432
158	20236.37195
159	20203.16283
160	20166.20201
161	20154.84951
162	20124.14929
163	20087.14841
164	20049.23382
165	19997.78713
166	19977.43164
167	19920.14675
168	19879.87087
169	19867.24063
170	19819.1836
171	19776.90299
172	19732.68466
173	19700.19818
174	19672.39184
175	19649.79142
176	19629.00216
177	19590.84684
178	19558.89636
179	19520.56112
180	19496.13936
181	19468.88944
182	19390.71097
183	19364.82974
184	19340.41084
185	19316.21053
186	19276.60444
187	19241.68869
188	19224.72486
189	19154.6937
190	19131.70951
191	19113.49969
192	19086.6827
193	19070.89854
194	19042.11021
195	19000.1295
196	18978.56214
197	18956.26087
198	18930.58365
199	18908.2911
200	18888.23531
201	18855.9887
202	18828.14519
203	18794.25067
204	18780.74764
205	18763.01386
206	18720.76694
207	18698.35207
208	18680.63141
209	18673.40575
210	18647.79231
211	18610.71547
212	18599.85223
213	18586.40715
214	18555.33037
215	18539.23236
216	18528.06508
217	18484.48646
218	18459.61572
219	18432.50657
